product_id,product_name,category,price,price_flag
PROD-0001,Open Beaautiful,clothing,32309.95,
PROD-0002,Race Third,automotive,47346.82,
PROD-0003,Mean Your,electronics,,sentinel
PROD-0004,Consumer Newspaper,toys,28506.95,
PROD-0005,A Hot,clothing,19165.58,
PROD-0006,How Over,clothing,2215.4,
PROD-0007,Each Attorney,home,49101.1,
PROD-0008,Idea Institution,clothing,20599.53,
PROD-0009,Billion Animal,electronics,27710.51,
PROD-0010,By Speaak,clothing,,sentinel
PROD-0011,Development How,home,38495.28,
PROD-0012,Bit Its,electronics,35426.08,
PROD-0013,Appear Position,toys,46067.97,
PROD-0014,Ahead Once,sports,26010.64,
PROD-0015,Mrs Audience,electronics,29803.79,
PROD-0016,Startwear,home,1200.0,
PROD-0017,Daughter Speech,home,30310.1,
PROD-0018,Curent Agrement,clothing,,sentinel
PROD-0019,Section Drive,sports,,
PROD-0020,Stockyard,,1200.0,
PROD-0021,Station Purpose,automotive,40642.04,
PROD-0022,Information Will,beauty,41128.19,
PROD-0023,Magazine Health6,sports,,sentinel
PROD-0024,Nature While,automotive,,
PROD-0025,Allow Physical,clothing,,
PROD-0026,Bringoffice,toys,,
PROD-0027,Decade Detail,electronics,37907.67,
PROD-0028,Campaign Either,home,17246.0,
PROD-0029,Police Alone,kitchen,8088.09,
PROD-0030,Busines Stil,kitchen,49986.32,
PROD-0031,Century Old!,kitchen,1200.0,
PROD-0032,Holdbefore,beauty,,sentinel
PROD-0033,Peace Magazine,kitchen,27304.07,
PROD-0034,Southern Fall,beauty,466.48,
PROD-0035,Level Tax,beauty,25140.45,
PROD-0036,Yard Participant,toys,41290.36,
PROD-0037,Control Test,home,15382.44,
PROD-0038,Show Game,electronics,25286.66,
PROD-0039,News Likely,toys,34384.6,
PROD-0040,Night Sucesful,home,,sentinel
PROD-0041,Subject Loss,home,7213.78,
PROD-0042,Inside Road,automotive,42744.27,
PROD-0043,Baby Sometimes,,,sentinel
PROD-0044,Smile Order,electronics,4769.44,
PROD-0045,Lawyer Real,toys,9810.24,
PROD-0046,Wall People,beauty,47459.54,
PROD-0047,Air Son,home,,sentinel
PROD-0048,Glass Top,kitchen,34102.67,
PROD-0049,Population Those,beauty,36516.08,
PROD-0050,Election Guy,sports,37081.98,
PROD-0051,Dream Off,beauty,19765.78,
PROD-0052,Nice Plan,home,30261.37,
PROD-0053,Forget College,automotive,39616.46,
PROD-0054,Too Far,clothing,46571.32,
PROD-0055,Glass Financial,beauty,12065.69,
PROD-0056,Herself Bag,toys,1200.0,
PROD-0057,Open Choice,,7067.35,
PROD-0058,Reflect Them,sports,1200.0,
PROD-0059,Fact Offer,sports,18500.33,
PROD-0060,Face Organization,automotive,16331.66,
PROD-0061,Pull War,clothing,49448.58,
PROD-0062,Choose A,beauty,15412.88,
PROD-0063,Have What,automotive,30868.72,
PROD-0064,Show Price,toys,,sentinel
PROD-0065,Official Talk,clothing,38958.87,
PROD-0066,Perform Notice,home,48172.72,
PROD-0067,Once Own,beauty,1200.0,
PROD-0068,Class Morning,clothing,16740.25,
PROD-0069,Whose Identify,beauty,327124.57,
PROD-0070,Thaat Gun,beauty,,sentinel
PROD-0071,My Employee7,clothing,1200.0,
PROD-0072,Food Per,kitchen,17559.72,
PROD-0073,Ago Mouth,electronics,,sentinel
PROD-0074,Water Painting,,46482.66,
PROD-0075,Involve Right,clothing,40476.32,
PROD-0076,Alone Describe,sports,,
PROD-0077,Designdemocratic,home,1200.0,
PROD-0078,Differentcharacter,kitchen,,
PROD-0079,Project Life,electronics,32660.43,
PROD-0080,Top Page,toys,,
PROD-0081,South City,kitchen,28109.74,
PROD-0082,Evening Mrs,sports,9950.52,
PROD-0083,Activity Between!,kitchen,,sentinel
PROD-0084,Pass Leader,electronics,17910.72,
PROD-0085,Dealworry,automotive,,sentinel
PROD-0086,Change Consider,clothing,41450.04,
PROD-0087,Tough Response,toys,,sentinel
PROD-0088,Edge Side,sports,20912.84,
