month,orders,revenue
2023-12,12953,688794719.84
2024-01,13256,695872413.36
2024-02,4102,207383394.56
2024-03,4443,221716979.46
2024-04,4103,211657397.73
2024-05,4315,238039028.9
2024-06,4194,211979446.06
2024-07,4406,229729693.24
2024-08,4315,230756559.17
2024-09,4150,222709776.98
2024-10,4310,227180552.7
2024-11,4082,219588146.08
2024-12,4399,214683106.62
2025-01,13144,677248659.57
2025-02,3981,199843637.73
2025-03,4411,232357540.99
2025-04,4192,241642409.16
2025-05,4354,218814534.11
2025-06,4161,219436407.56
2025-07,4383,239484186.38
2025-08,4352,219080098.05
2025-09,4251,217789532.05
2025-10,4448,219020439.99
2025-11,4235,230128388.12
2025-12,774,36258330.26
2026-01,652,29833703.08
2026-02,618,30270956.36
2026-03,674,29421367.74
2026-04,696,44464438.22
2026-05,651,35040236.25
2026-06,662,36851149.47
2026-07,666,31845274.06
2026-08,688,34213915.91
2026-09,661,38823383.93
2026-10,705,38738646.36
2026-11,621,31188778.75
2026-12,682,33281861.12
2027-01,114,6183371.12
