order_id,customer_id,product_id,order_amount,order_date,payment_method,status,quantity
06b5aa88-f86f-4e07-8e4b-6df36402c209,0a331d4c-a73d-4271-83ac-2f6726635495,PROD-0060,473.82,2025-07-29,wall-et,success,1
5b10b856-e084-471c-bc16-8dbab95e3f33,9e48263f-7923-4cb9-8138-b9da8eb85619,PROD-0393,17796.32,2024/31/01,card,success,1
88706122-160e-4721-b537-73cee232fcd5,245fac1f-5ac1-4448-acc9-70ff980a4e9b,PROD-0332,31201.75,2024-03-02,wallet,success,2
c6ae75af-0313-4194-a788-8802515af2e4,abfda25e-6a38-4aa8-be24-cd22f371b2b0,PROD-0059,42282.89,,wallet,refunded,2
032ab1c7-8882-47d8-a2ac-fbefc1cfb2eb,e0010492-b072-4f48-abd6-8a87938fad24,PROD-0342,27100.3 ,2024-02-11,wallet,success,1
0f2433b5-1f67-4446-9849-edff493026c2,bdf18b4d-db9f-46f0-8758-44a938529a49,PROD-0297,2393.67,2025-11-09,card,success,4
71223631-9926-4ced-b994-60a6d97d1001,5380805b-1e8f-434c-a898-bfe678c2ea7a,PROD-0137,12532.69,2025-12-01,upi,success,5
4acbdb89-3acd-40ff-ab86-87af982fcca8,a4bc8fc9-f452-43b3-a4c1-eaf7cec182ae,PROD-0010,47079.63,2025-08-20,card,success,2
cc6dcafa-a53f-4be5-aee3-ec29d5994f0d,d7e5abd4-33ab-404f-adc1-de28fb6756ae,PROD-0243,32901.99,2025-02-27,upi, FAILED,5
184ee64a-b795-4137-868f-9a90c6580ba2,b6a71ba1-8f4b-4f82-a131-c987879c104d,PROD-0084,3858.55,2023-12-30,upi,success,3
2ec9aced-a816-43b7-b4df-d27b8897f3a4,48608d73-d5fc-4c66-a43b-9dfc6e67e203,PROD-0490,26531.19,2025-05-07,cash,success,4
9cd401b4-4a78-476b-906d-b15ffe5910b0,4111ec1f-523e-44ab-905c-df3d4f13f112,PROD-0340, 40344.97,2025-05-24,upi,suc, 
8fc20b6f-fbd2-4d34-b935-ae0e375aad80,9186ed0d-0297-4355-ae7f-a332ce8fd46f,PROD-0399,41711.08 ,2025/01/10 12:00,card,SUCCESS,3
9b1262e3-96a0-4aa8-9721-babbd152901d,a802e40f-7a9f-45ee-a2f3-badd3ed1fe46,PROD-0175,29184.75,2024-02-17,CRAD,success,4
41565f0b-d0b8-4b2b-b7f5-f6f32d0d190e,b0664d8e-a592-41e7-8a5a-41a46eb9cb38,PROD-0452,8581.57 ,2025-07-20,wallet,success,1
4b5d74d1-91f1-47e8-b0d2-9a68fe92341e,5b8f9a1d-b658-400d-b96a-271150f6c8bf,PROD-0214,-50,2026-12-20T15:18:00.441995,card,refunded, 
f2c4328c-a2b6-4714-9e98-8aace7189533,26392abf-8cc1-4288-b0f8-eba720f7bff3,PROD-0193,40904.93,2024-06-03,cash,success,0
7d0f581d-dfbc-49ac-b0f7-ad7a6ed6b7ef,486810a0-2f8f-43c9-ae73-1c0bd9a9815e,PROD-0360,35036.68,2023-12-16,upi,success,3
84a34bc6-02af-4949-ac03-1f72731f7881,a58d0abc-c79e-4a7d-8b55-95eca158e786,PROD-0435,-50,2024/31/01,cash,success,4
c799fc4a-b269-47c7-85f8-295a19f7a975,9a845211-d346-4e65-ac7c-9fb6f91a72dc,PROD-0037,4016.76,,upi,success,3
f96cc758-ee08-48c0-82bb-3b11313afd3e,e4212166-be18-4b65-81c8-8b772e624208,PROD-0113,25385.07,31-12-2023,card,refunded ,3
a025a60c-13bc-40b6-ac66-2f656328fe8a,88468d69-d883-49b3-ae7f-32eeb20c81aa,PROD-0484,,2024-08-27,CRAD,success,4
d3eace5e-c606-4bea-891f-8e7ebf73680d,ec1c37ed-a259-432b-9c95-b8b01ea78698,PROD-0052,19892.67,2025/01/10 12:00,wallet, FAILED,3
e9c0175d-608c-4e16-a59b-0cb481558e54,22f916ad-e4d9-486f-842f-9cc86e04c923,PROD-0264,44494.78 ,2025-03-31,wallet,success,5
eca176df-4bad-4fac-ae27-22fcfc667ba1,dea3e352-ff34-404c-9f9a-b545b4e784ee,PROD-0155,-50,2024/31/01,cash,SUCCESS,4
1e06a8d6-727d-4457-9964-2b1f057b7862,056aca7a-22be-470e-ba30-8249fad83998,PROD-0242,16754.52,2024/31/01,upi,success,2
a8c2c699-53e9-4844-acb1-38a7f258046f,d6d784cf-b1ff-4b71-b0e2-a5c0ee396efc,PROD-0432,"1,200",2024-11-27,cash,success,1
3f730584-137d-4a7c-a9ec-24c76424fd5e,c974a971-2856-4b04-a766-5f08da78acdd,PROD-0045,37919.65,2024-03-27,upi,refunded,five
28ebda82-9f2c-45c4-b869-b707d9909589,f0f3f6bf-b9a0-4e4a-acbc-0fb00717d825,PROD-0201,36862.57,2024-02-11,upi,failed,4
d5c64588-8aa0-42ed-9273-4a0f1c0c4636,c296994a-45b4-4f2d-b754-331374011d5f,PROD-0276,31629.08,2026-10-25T15:18:00.713029,cash,success,5
22937309-97fa-483a-98e8-1631bd0611fa,f49df79b-d21a-4987-aa9e-559319332227,PROD-0430,26678.72,2025-06-09,cash,success,4
c4e7f68f-8253-4411-9a96-08a69ee37514,382c87fe-09d6-455f-a5b0-d292796c3a0d,PROD-0142,26337.45,2024-02-29,wallet,REF,3
6a36a183-7803-47e0-be37-09ee275863a2,c49c0330-1eda-40bc-bdcc-0ad86fc8ddda,PROD-0429,29416.72,2025/01/10 12:00,card,suc,4
7bf02768-7096-41a3-b42a-4dc675497f9b,eb1f6590-b608-460f-93dd-0aeae2ab9c4e,PROD-0398,"1,200",2023-12-14,UPI ,success,1
35a7d35d-9998-411e-9663-a794e08d3971,cac39caf-175a-41da-8f14-606eee96dd19,PROD-0203,14991.21,2026-02-10T15:18:02.953186,wallet,Success,4
c6887c12-89f8-4ecc-920a-d3b967bcae05,9bc80a14-6919-496b-8154-081cf41ab21b,PROD-0145,29615.98,2024-12-15,cd,SUCCESS,0
f833258c-c478-4316-99fe-5e9491de9d91,6ed274d7-d2aa-4ff6-84e4-80cecb4667a2,PROD-0235,40208.72,2025/01/10 12:00,wallet,success, 
ac941687-f113-4c50-8e91-1d8e080a46d0,11fe5a9a-06c6-48ce-a453-5bf2051ddc43,PROD-0410,-50,2024-06-14,UPI ,suc,2.0
e99d8583-1324-4d35-a01e-e8b1cb4759c7,654d9af4-07a1-412f-90a6-a11c793d9854,PROD-0470,7086.88,,cash,failed,3
a2376264-d6be-45d2-b2e2-8b41e0ea824a,141ad63a-c1a9-43ad-8ff1-b36f167080d5,PROD-0349, 34334.22,2025-05-04,c@rd,fail,3
e7fa1cd5-c1e3-471c-8f82-ba452054ce01,46b65227-230e-4128-9b1b-593a9c21df85,PROD-0100,25507.16,2025-01-26,cash,fail,5
a6b00ae2-57f8-439d-9730-c844c7a1d6d6,c05f8972-df76-4bd8-aa95-500bf30125b9,PROD-0174,25562.55,2025-11-10,cash,success,five
cd5d1374-9c67-4af5-9db7-2d1b286cc2ff,994518ad-85e0-4520-93cf-49ddd4d5368a,PROD-0270,29502.56,2024-11-28,card,success,3
ff59e27d-fb55-440a-bab0-f84b66cca463,f763c6db-4ff0-4075-9707-6e06899151a4,PROD-0071,43541.61,, upi,success,1
6b74d27f-9c82-4492-aca4-ca5cceec53e6,b0784514-87da-4206-885f-0c9900f40eca,PROD-0342,7824.98,2025-03-14,cash,refunded ,2.0
cdf39e31-0fa4-463b-8c9d-de486e7bbb76,af197364-9271-43f9-a003-fb122066b96d,PROD-0465,3542.94,2024/31/01,cash,suc,4
57870561-66c0-4418-a4b2-f6f4973f4392,4ba33e85-2f6c-4f72-a3ce-78ecca60c8d6,PROD-0113, 17452.58,2024-02-10,card,fail,1
8ce241ff-adb4-4ae3-b475-d02a53478760,75d45486-96d4-4dca-a9e2-ebb2adb903a5,PROD-0300,-50,2025-01-06,CRAD,success,4
4679b4fe-fd77-4f53-8fb0-13ad78cdafb8,0d49dd3b-8a70-4cba-98ea-0106343f9b62,PROD-0482,33820.84,2025-02-24,upi,refunded,5
e5900855-461a-4488-9e08-c3a553045b9a,2613d5d8-efc3-41b9-90e3-6d4b1cec2105,PROD-0035,-50,2024-01-07,WALLET,suc,5
d7785fba-f179-45db-b460-3d288b395176,8ab5bb34-da80-49f2-bcf2-72d2ffdc967f,PROD-0259,34598.28,2024-06-29,wallet,success,3
8284693a-416d-4320-837e-8afe55c5fcd7,168b72ae-05d8-4f34-aeff-8372984b7661,PROD-0363,49991.22,2025-09-03,wallet,success,1
78bc5c3b-6aaa-4631-aee6-3e70d6a7cac1,e9a198e1-d807-43ce-84c6-cc4dc1b81225,PROD-0391,42042.48,,wallet,refunded,5
924e7444-f535-413b-b5ef-51911035509a,c6fc677c-e288-42cc-b4a1-d39da404cb99,PROD-0037,15776.48,2024-01-20,upi,success,5
6e25d3a3-bf4e-4b12-9928-586e762ffcc4,e47bdfc7-cfc4-4bf9-a391-85bb37e41366,PROD-0394,696397.36,2025-04-16,wallet,failed,1
c341e859-92f5-4a62-93be-be9cb34f6a1d,6f38f29a-a92d-4b33-b4e8-9adc4e2b3600,PROD-0413,"1,200",2024/31/01,UPI ,Success, 
