date,pb95_eur_l,diesel_eur_l
2018-01-01,1.159,1.152
2018-02-01,1.159,1.152
2018-03-01,1.159,1.152
2018-04-01,1.159,1.152
2018-05-01,1.159,1.152
2018-06-01,1.159,1.152
2018-07-01,1.159,1.152
2018-08-01,1.159,1.152
2018-09-01,1.159,1.152
2018-10-01,1.159,1.152
2018-11-01,1.159,1.152
2018-12-01,1.159,1.152
2019-01-01,1.163,1.174
2019-02-01,1.163,1.174
2019-03-01,1.163,1.174
2019-04-01,1.163,1.174
2019-05-01,1.163,1.174
2019-06-01,1.163,1.174
2019-07-01,1.163,1.174
2019-08-01,1.163,1.174
2019-09-01,1.163,1.174
2019-10-01,1.163,1.174
2019-11-01,1.163,1.174
2019-12-01,1.163,1.174
2020-01-01,1.0,1.006
2020-02-01,1.0,1.006
2020-03-01,1.0,1.006
2020-04-01,1.0,1.006
2020-05-01,1.0,1.006
2020-06-01,1.0,1.006
2020-07-01,1.0,1.006
2020-08-01,1.0,1.006
2020-09-01,1.0,1.006
2020-10-01,1.0,1.006
2020-11-01,1.0,1.006
2020-12-01,1.0,1.006
2021-01-01,1.2,1.181
2021-02-01,1.2,1.181
2021-03-01,1.2,1.181
2021-04-01,1.2,1.181
2021-05-01,1.2,1.181
2021-06-01,1.2,1.181
2021-07-01,1.2,1.181
2021-08-01,1.2,1.181
2021-09-01,1.2,1.181
2021-10-01,1.2,1.181
2021-11-01,1.2,1.181
2021-12-01,1.2,1.181
2022-01-01,1.421,1.537
2022-02-01,1.421,1.537
2022-03-01,1.421,1.537
2022-04-01,1.421,1.537
2022-05-01,1.421,1.537
2022-06-01,1.421,1.537
2022-07-01,1.421,1.537
2022-08-01,1.421,1.537
2022-09-01,1.421,1.537
2022-10-01,1.421,1.537
2022-11-01,1.421,1.537
2022-12-01,1.421,1.537
2023-01-01,1.435,1.454
2023-02-01,1.435,1.454
2023-03-01,1.435,1.454
2023-04-01,1.435,1.454
2023-05-01,1.435,1.454
2023-06-01,1.435,1.454
2023-07-01,1.435,1.454
2023-08-01,1.435,1.454
2023-09-01,1.435,1.454
2023-10-01,1.435,1.454
2023-11-01,1.435,1.454
2023-12-01,1.435,1.454
2024-01-01,1.479,1.495
2024-02-01,1.479,1.495
2024-03-01,1.479,1.495
2024-04-01,1.479,1.495
2024-05-01,1.479,1.495
2024-06-01,1.479,1.495
2024-07-01,1.479,1.495
2024-08-01,1.479,1.495
2024-09-01,1.479,1.495
2024-10-01,1.479,1.495
2024-11-01,1.479,1.495
2024-12-01,1.479,1.495
2025-01-01,1.402,1.428
2025-02-01,1.402,1.428
2025-03-01,1.402,1.428
2025-04-01,1.402,1.428
2025-05-01,1.402,1.428
2025-06-01,1.402,1.428
2025-07-01,1.402,1.428
2025-08-01,1.367,1.387
2025-09-01,1.369,1.384
2025-10-01,1.387,1.404
2025-11-01,1.406,1.45
2025-12-01,1.381,1.452
2026-01-01,1.349,1.409
2026-02-01,1.359,1.409
2026-03-01,1.564,1.79
2026-04-01,1.431,1.707
2026-05-01,1.499,1.617
2026-06-01,1.399,1.449
2026-07-01,1.644,1.689
2026-08-01,1.726,1.872
