invoice_id,cust_number,name_customer,invoice_currency,total_open_amount,posting_date,due_in_date,cust_payment_terms,pred_days_to_pay,pred_clear_date,pred_days_late,pred_late,days_past_due,priority_score
1930643948.0,0200464724,LAND associates,USD,730985.29,2020-03-12,2020-03-22,NA10,12.0,2020-03-24 00:00:00,2,True,58,42397147.0
2960619220.0,0140104409,LOB associates,CAD,263371.68,2020-03-08,2020-03-19,CA10,14.0,2020-03-22 00:00:00,3,True,61,16065672.0
1930607202.0,0100014724,DEC systems,USD,204170.87,2020-03-05,2020-03-08,NAM1,9.0,2020-03-14 00:00:00,6,True,72,14700303.0
2960626269.0,0140104409,LOB trust,CAD,421412.66,2020-04-05,2020-04-16,CA10,14.0,2020-04-19 00:00:00,3,True,33,13906618.0
2960616775.0,0140104423,METRO  llc,CAD,206213.88,2020-03-03,2020-03-16,CA10,11.0,2020-03-14 00:00:00,-2,False,64,13197688.0
1930767733.0,0200002965,DECA in,USD,341278.88,2020-04-09,2020-04-11,NAM2,7.0,2020-04-16 00:00:00,5,True,38,12968597.0
2960619908.0,0140104440,SO in,CAD,203227.16,2020-03-09,2020-03-21,CA10,17.0,2020-03-26 00:00:00,5,True,59,11990402.0
1930624138.0,0200762301,C&S WH trust,USD,201365.46,2020-03-09,2020-03-24,NAC6,15.0,2020-03-24 00:00:00,0,False,56,11276466.0
1930597727.0,0200762301,C&S WH us,USD,179931.64,2020-03-04,2020-03-19,NAC6,15.0,2020-03-19 00:00:00,0,False,61,10975830.0
2960614254.0,0140104423,METRO  corporation,CAD,159167.23,2020-02-27,2020-03-12,CA10,11.0,2020-03-09 00:00:00,-3,False,68,10823372.0
2960617908.0,0140104249,SOB in,CAD,175815.63,2020-03-01,2020-03-19,CA10,23.0,2020-03-24 00:00:00,5,True,61,10724753.0
2960617907.0,0140106408,WAL-M systems,CAD,156498.98,2020-02-29,2020-03-12,CA10,19.0,2020-03-19 00:00:00,7,True,68,10641931.0
2960618010.0,0140104240,FEDER us,CAD,173661.53,2020-03-02,2020-03-20,CA10,15.5,2020-03-17 12:00:00,-3,False,60,10419692.0
1930584661.0,0200752302,KROGER trust,USD,158550.54,2020-02-29,2020-03-15,NAA8,15.0,2020-03-15 00:00:00,0,False,65,10305785.0
1930586437.0,0200707822,PUBLI ,USD,155639.15,2020-03-04,2020-03-19,NAA8,15.0,2020-03-19 00:00:00,0,False,61,9493988.0
1930622286.0,0200772595,SAFEW us,USD,156254.29,2020-03-08,2020-03-23,NAA8,15.0,2020-03-23 00:00:00,0,False,57,8906495.0
1930576681.0,0200762301,C&S WH corp,USD,139107.2,2020-03-01,2020-03-16,NAC6,15.0,2020-03-16 00:00:00,0,False,64,8902861.0
1930606985.0,0200762301,C&S WH us,USD,148331.74,2020-03-05,2020-03-20,NAC6,15.0,2020-03-20 00:00:00,0,False,60,8899904.0
1930581269.0,0200705372,FR corporation,USD,136082.78,2020-02-29,2020-03-15,NAA8,15.0,2020-03-15 00:00:00,0,False,65,8845381.0
2960616948.0,0140106408,WAL-M us,CAD,125739.54,2020-02-28,2020-03-11,CA10,19.0,2020-03-18 00:00:00,7,True,69,8676028.0
2960622671.0,0140104409,LOB foundation,CAD,171908.29,2020-03-20,2020-03-30,CA10,14.0,2020-04-03 00:00:00,4,True,50,8595414.0
2960622868.0,0140104423,METRO  trust,CAD,190908.5,2020-03-23,2020-04-05,CA10,11.0,2020-04-03 00:00:00,-2,False,44,8399974.0
1930576254.0,0200723794,MID MO llc,USD,124685.91,2020-02-27,2020-03-13,NAA8,15.0,2020-03-13 00:00:00,0,False,67,8353956.0
1930576490.0,0200780383,MEIJ corp,USD,126333.87,2020-02-28,2020-03-14,NAA8,16.0,2020-03-15 00:00:00,1,True,66,8338035.0
1930624283.0,0200881076,ALBERT foundation,USD,148710.98,2020-03-09,2020-03-24,NAA8,15.0,2020-03-24 00:00:00,0,False,56,8327815.0
2960620086.0,0100030194,AMAZO llc,CAD,184759.84,2020-03-17,2020-04-04,CA10,18.0,2020-04-04 00:00:00,0,False,45,8314193.0
1930593242.0,0200920735,ALBERT associates,USD,133022.92,2020-03-03,2020-03-18,NAA8,16.0,2020-03-19 00:00:00,1,True,62,8247421.0
2960621021.0,0140104249,SOB co,CAD,173942.9,2020-03-14,2020-04-02,CA10,23.0,2020-04-06 00:00:00,4,True,47,8175316.0
1930629722.0,0200793568,SUPE corp,USD,147964.63,2020-03-11,2020-03-26,NAA8,17.0,2020-03-28 00:00:00,2,True,54,7990090.0
1930597829.0,0200743123,KROGER ,USD,130192.53,2020-03-04,2020-03-19,NAA8,15.0,2020-03-19 00:00:00,0,False,61,7941744.0
1930585827.0,0200875006,KROGER ,USD,124013.25,2020-03-01,2020-03-16,NAA8,15.0,2020-03-16 00:00:00,0,False,64,7936848.0
2960618070.0,140104440,SO us,CAD,138799.62,2020-03-13,2020-03-23,CA10,15.5,2020-03-28 12:00:00,5,True,57,7911578.0
2960619977.0,0140104409,LOB ,CAD,135110.0,2020-03-11,2020-03-22,CA10,14.0,2020-03-25 00:00:00,3,True,58,7836380.0
1930623626.0,0200418007,AM systems,USD,141933.99,2020-03-10,2020-03-25,NAA8,16.0,2020-03-26 00:00:00,1,True,55,7806369.0
1930624001.0,0200466603,SMITH'S systems,USD,138850.61,2020-03-09,2020-03-24,NAA8,15.0,2020-03-24 00:00:00,0,False,56,7775634.0
2960624731.0,0140104423,METRO  associates,CAD,196511.83,2020-03-29,2020-04-10,CA10,11.0,2020-04-09 00:00:00,-1,False,39,7663961.0
2960621240.0,0140104429,COSTCO us,CAD,144207.65,2020-03-16,2020-03-27,CA10,16.0,2020-04-01 00:00:00,5,True,53,7643005.0
1930573734.0,0100057168,CO associates,USD,113332.55,2020-02-27,2020-03-13,NAA8,15.0,2020-03-13 00:00:00,0,False,67,7593281.0
1930606703.0,0200743123,KROGER corporation,USD,128194.38,2020-03-06,2020-03-21,NAA8,15.0,2020-03-21 00:00:00,0,False,59,7563468.0
1930686890.0,0200707822,PUBLI llc,USD,188407.3,2020-03-25,2020-04-09,NAA8,15.0,2020-04-09 00:00:00,0,False,40,7536292.0
2960619503.0,0140104409,LOB co,CAD,126394.24,2020-03-07,2020-03-21,CA10,14.0,2020-03-21 00:00:00,0,False,59,7457260.0
1930586924.0,0200707822,PUBLI systems,USD,120138.39,2020-03-03,2020-03-18,NAA8,15.0,2020-03-18 00:00:00,0,False,62,7448580.0
1930627685.0,0200689451,PORK corp,USD,134351.45,2020-03-10,2020-03-25,NAA8,15.0,2020-03-25 00:00:00,0,False,55,7389330.0
1930644084.0,0200723794,MID MO corporation,USD,139402.4,2020-03-12,2020-03-27,NAA8,15.0,2020-03-27 00:00:00,0,False,53,7388327.0
1930632630.0,0200772670,ASSOCIAT llc,USD,134158.87,2020-03-10,2020-03-25,NAU5,16.0,2020-03-26 00:00:00,1,True,55,7378738.0
1930664347.0,200337148,COAS in,USD,152836.17,2020-03-17,2020-04-01,NAA8,15.0,2020-04-01 00:00:00,0,False,48,7336136.0
1930640997.0,0200780383,MEIJ in,USD,137816.74,2020-03-12,2020-03-27,NAA8,16.0,2020-03-28 00:00:00,1,True,53,7304287.0
1930691554.0,0200707822,PUBLI in,USD,187285.81,2020-03-26,2020-04-10,NAA8,15.0,2020-04-10 00:00:00,0,False,39,7304147.0
2960616973.0,0140104249,SOB llc,CAD,119682.92,2020-03-01,2020-03-19,CA10,23.0,2020-03-24 00:00:00,5,True,61,7300658.0
1930690138.0,0200762301,C&S WH us,USD,177806.67,2020-03-24,2020-04-08,NAC6,15.0,2020-04-08 00:00:00,0,False,41,7290073.0
